"description","name","sku","pack","size","gtin","retail_price","is_catch_weight","average_case_weight","image","manufacturer_sku","ordering_unit","is_broken_case","avg_case_weight","content_url","brand","level 1","level 2","level 3","manufacturer_name","distributor_name","unitPrice","extra_data"
"","SYRUP COCA COLA CLASSIC","NFBGCOKE","","1/5gal","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/nfbgcoke.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Beverages/Bag-In-Box/IFS-NFBGCOKE","COCA COLA","","","","","","","{}"
"","SYRUP DIET COCA COLA","NFBGDCOK","","1/5 GAL","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/nfbgdcok.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Beverages/Bag-In-Box/IFS-NFBGDCOK","COCA COLA","","","","","","","{}"
"","SYRUP DR PEPPER 5 GAL","NFBGDRP","","1/5gal","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/nfbgdrp.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Beverages/Bag-In-Box/IFS-NFBGDRP","","","","","","","","{}"
"","SYRUP FUZE TEA RASPBERRY","NFBGFRSP","","1/5gal","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/nfbgfrsp.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Beverages/Bag-In-Box/IFS-NFBGFRSP","FUZE","","","","","","","{}"
"","SYRUP LEMONADE","NFBGMINLEM","","1/5gal","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/nfbgminlem.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Beverages/Bag-In-Box/IFS-NFBGMINLEM","MINUTE MAID","","","","","","","{}"
"","SYRUP PINK LEMONADE POPPIN'","NFBGPLE","","1/5gal","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/nfbgple.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Beverages/Bag-In-Box/IFS-NFBGPLE","HI-C","","","","","","","{}"
"","SYRUP SPRITE","NFBGSPRI","","1/5gal","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/nfbgspri.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Beverages/Bag-In-Box/IFS-NFBGSPRI","SPRITE","","","","","","","{}"
"","SYRUP BARQ'S ROOT BEER","NFBGRB","","1/5 GAL","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/nfbgrb.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Beverages/Bag-In-Box/IFS-NFBGRB","BARQ'S","","","","","","","{}"
"","SYRUP CHERRY COKE","NFBGCRCOK","","1/5gal","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/nfbgcrcok.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Beverages/Bag-In-Box/IFS-NFBGCRCOK","COCA COLA","","","","","","","{}"
"","SYRUP COCA COLA ZERO SUGAR","203035","","1/5gal","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/203035.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Beverages/Bag-In-Box/IFS-203035","COCA COLA","","","","","","","{}"
"","SYRUP MIN MAID CRANBERRY JUICE","NFBGCRAN","","1/2.5gal","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/nfbgcran.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Beverages/Bag-In-Box/IFS-NFBGCRAN","MINUTE MAID","","","","","","","{}"
"","SYRUP ORANGE FANTA","NFBGFAOR","","1/5gal","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/nfbgfaor.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Beverages/Bag-In-Box/IFS-NFBGFAOR","FANTA","","","","","","","{}"
"","SYRUP PIBB XTRA 5 GAL","NFBGMRP","","1/5gal","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/nfbgmrp.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Beverages/Bag-In-Box/IFS-NFBGMRP","PIBB XTRA","","","","","","","{}"
"","SYRUP VITAMIN WATER XXX","G40298","","1/2.5gal","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/7409.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Beverages/Bag-In-Box/IFS-G40298","VITAMIN WATER","","","","","","","{}"
"","SYRUP DR PEPPER DIET 5 GAL","203500","","1/5 GAL","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/203500.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Beverages/Bag-In-Box/IFS-203500","","","","","","","","{}"
"","SYRUP FUZE TEA UNSWEETENED","NFBGFUNS","","1/5gal","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/nfbgfuns.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Beverages/Bag-In-Box/IFS-NFBGFUNS","FUZE","","","","","","","{}"
"","SYRUP GINGER ALE","NFBGGINGER","","1/2.5gal","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/nfbgginger.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Beverages/Bag-In-Box/IFS-NFBGGINGER","SEAGRAM'S","","","","","","","{}"
"","SYRUP LEMONADE 2.5 GALLON","203027","","1/2.5gal","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/6270.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Beverages/Bag-In-Box/IFS-203027","MINUTE MAID","","","","","","","{}"
"","SYRUP ORANGE 100% CONC BLEND","NFBGOJ","","1/2.5gal","","","","","","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Beverages/Bag-In-Box/IFS-NFBGOJ","MINUTE MAID","","","","","","","{}"
"","SYRUP POWERADE MNTN BLAST BLUE","NFBGMBPOW","","1/5gal","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/nfbgmbpow.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Beverages/Bag-In-Box/IFS-NFBGMBPOW","POWERADE","","","","","","","{}"
"","SYRUP SPRITE","203015","","1/2.5gal","","","","","","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Beverages/Bag-In-Box/IFS-203015","SPRITE","","","","","","","{}"
"","SYRUP STRAWBERRY FANTA","NFBGFAST","","1/5gal","","","","","https://s3.us-west-1.wasabisys.com/ifsmain-wis-images/qa/products/images/nfbgfast.jpg","","","","","https://supplies.individualfoodservice.com/Catalog/Food/Beverages/Bag-In-Box/IFS-NFBGFAST","FANTA","","","","","","","{}"
