"name","description","product_variants","sku","pack","size","gtin","retail_price","is_catch_weight","average_case_weight","image_url","manufacturer_sku","content_url","ordering_unit","is_broken_case","avg_case_weight","brand","category","manufacturer_name","distributor_name","supplier_name","country_of_origin"
"Reposado Tequila 100% de Agave","","","1438351",6,750,"","","","","https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/2959863/cf0eb686c1e7ce4bc49e7.png?1706826362","","","","","","1800 Tequila","Spirit","","johnsonbrothers","Proximo Spirits","Mexico"
"Reposado Tequila 100% de Agave","","","1045006",6,750,"","","","","https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/2959863/cf0eb686c1e7ce4bc49e7.png?1706826362","","","","","","1800 Tequila","Spirit","","johnsonbrothers","Proximo Spirits","Mexico"
"Reposado Tequila 100% de Agave","","","1119735",12,750,"","","","","https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/2959863/cf0eb686c1e7ce4bc49e7.png?1706826362","","","","","","1800 Tequila","Spirit","","johnsonbrothers","Proximo Spirits","Mexico"
"Reposado Tequila 100% de Agave","","","1174337",6,750,"","","","","https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/2959863/cf0eb686c1e7ce4bc49e7.png?1706826362","","","","","","1800 Tequila","Spirit","","johnsonbrothers","Proximo Spirits","Mexico"
"Reposado Tequila 100% de Agave","","","1958340",12,375,"","","","","https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/2959863/cf0eb686c1e7ce4bc49e7.png?1706826362","","","","","","1800 Tequila","Spirit","","johnsonbrothers","Proximo Spirits","Mexico"
"Reposado Tequila 100% de Agave","","","1189860",24,200,"","","","","https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/2959863/cf0eb686c1e7ce4bc49e7.png?1706826362","","","","","","1800 Tequila","Spirit","","johnsonbrothers","Proximo Spirits","Mexico"
"Reposado Tequila 100% de Agave","","","1344405",48,100,"","","","","https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/2959863/cf0eb686c1e7ce4bc49e7.png?1706826362","","","","","","1800 Tequila","Spirit","","johnsonbrothers","Proximo Spirits","Mexico"
"Reposado Tequila 100% de Agave","","","1195123",60,50,"","","","","https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/2959863/cf0eb686c1e7ce4bc49e7.png?1706826362","","","","","","1800 Tequila","Spirit","","johnsonbrothers","Proximo Spirits","Mexico"
"Reserva Silver Tequila 100% de Agave","","","1825956",6,750,"","","","","https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/2160436/a9240b02bf977e6d94a26.png?1642506568","","","","","","1800 Tequila","Spirit","","johnsonbrothers","Proximo Spirits","Mexico"
"Select Silver Tequila 100% de Agave 100 Proof","","","1372767",6,1,"","","","","https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/1567911/9e0295f17978c9b1e9338.png?1589318993","","","","","","1800 Tequila","Spirit","","johnsonbrothers","Proximo Spirits","Mexico"
