name,description,material,product_variants,sku,product_id,pack,size,gtin,retail_price,is_catch_weight,average_case_weight,image_url,manufacturer_sku,content_url,ordering_unit,is_broken_case,avg_case_weight,brand,1 category,2 category,3 category,4 category,product-category-style,manufacturer_name,distributor_name,supplier_name,country_of_origin,group,Level 1 Category,Level 2 Category,Level 3 Category
CONT 32 OZ BLENDER SS,Container.,Stainless Steel,,1000375,e8dc586e-fa46-4291-8d84-3619d5cd6b8a,,,,,,,https://www.don.com/UserFiles/Images/Products/Individuals/1000375.JPG,,www.don.com/product/1000375,,,,Hamilton Beach Brands,Bar Supplies,Blender Container,Replacements,Replacements,,,Edward don,,,Non-Food,Supplies & Equipment,Food Storage & Wraps,Container
LID PREP VITAMIX FITS 64 OZ CON,Lid Plug for 64 oz Container.,Metal,,1000464,92ddfed3-ccf2-400b-86e8-e51473b5993f,,,,,,,https://www.don.com/UserFiles/Images/Products/Individuals/1000464.JPG,,www.don.com/product/1000464,,,,Vita-Mix Corporation,Bar Supplies,Blender Container,Replacements,Replacements,,,Edward don,,,Non-Food,Supplies & Equipment,Food Storage & Wraps,Container
BLENDER CONTAINER 32 OZ W/LID,Blender Container.,Glass,,1001875,e6dfb6f2-0fea-432f-8316-78e8020d2f49,,,,,,,https://www.don.com/UserFiles/Images/Products/Individuals/1001875.JPG,,www.don.com/product/1001875,,,,Waring,Bar Supplies,Blender Container,Replacements,Replacements,,,Edward don,,,Non-Food,Supplies & Equipment,Food Storage & Wraps,Container
CONT BLENDER 64 OZ PLAS CLR,"Blender Container. The best choice for smoothies, ice cream drinks, and frozen fruit drinks. Fast paced blending for high volume operations. Wave-Action™ system continually forces mixture down into blades. Powerful 3 hp motor with all-metal drive coupling—two speeds, jump cycle and pulse button. Stackable 2 qt polycarbonate container with easy to read measurement marks.",Polycarbonate,,1008590,94a9d293-a2b9-4df9-8825-ec0eedcd8c3a,,,,,,,https://www.don.com/UserFiles/Images/Products/Individuals/1008590.JPG,,www.don.com/product/1008590,,,,Hamilton Beach Brands,Bar Supplies,Blender Container,Replacements,Replacements,,,Edward don,,,Non-Food,Supplies & Equipment,Food Storage & Wraps,Container
CONT BLENDER W/LID 32 OZ SS,Blender Container.,Stainless Steel,,1009112,a310b8da-2d40-47ed-899b-65da51f5645a,,,,,,,https://www.don.com/UserFiles/Images/Products/Individuals/1009112.JPG,,www.don.com/product/1009112,,,,Waring,Bar Supplies,Blender Container,Replacements,Replacements,,,Edward don,,,Non-Food,Supplies & Equipment,Food Storage & Wraps,Container
CONT 64 OZ  XL BLENDING SYSTEM 220 V,"Container. The largest capacity, countertop blender engineered to reduce prep-time, improve efficiency, and expand menu capabilities. Blends up to 24-8 oz servings at once with a powerful 4.2 peak output hp motor—allows heavy blending from delicate tomatoes to dense meat. Large 1-1/2 gal container provides extra blending capacity for both hot and cold ingredients. Low countertop profile and removable lid plug make it easy to add ingredients while blending. Pulse function and variable speed control allow for flexibility and creativity. Includes accelerator tool, 2 containers (2 qt and 1-1/2 gal) complete with blade assembly and lid.",Stainless Steel,,1009314,9d4e32c8-29e9-41e7-b973-fca46f41dc44,,,,,,,https://www.don.com/UserFiles/Images/Products/Individuals/1009314.JPG,,www.don.com/product/1009314,,,,Vita-Mix Corporation,Bar Supplies,Blender Container,Replacements,Replacements,,,Edward don,,,Non-Food,Supplies & Equipment,Food Storage & Wraps,Container
CONT BLENDER 48 OZ ONLY FOR H734,Blender Container.,,,1021056,62912a2f-4089-452a-a4a5-53b496a6707e,,,,,,,https://www.don.com/UserFiles/Images/Products/Individuals/1021056.JPG,,www.don.com/product/1021056,,,,Vita-Mix Corporation,Bar Supplies,Blender Container,Replacements,Replacements,,,Edward don,,,Non-Food,Supplies & Equipment,Food Storage & Wraps,Container
CONT BLENDER COMP 32 OZ,Compact Blender Container.,,,1021828,975a336b-b8d7-4a84-a6db-74b5ba2dd70a,,,,,,,https://www.don.com/UserFiles/Images/Products/Individuals/1021828.JPG,,www.don.com/product/1021828,,,,Vita-Mix Corporation,Bar Supplies,Blender Container,Replacements,Replacements,,,Edward don,,,Non-Food,Supplies & Equipment,Food Storage & Wraps,Container
CONTAINER REPLACEMENT 32 OZ F/H185,Replacement Container.,Polycarbonate,,1029176,30c29010-5b50-4d4f-96e2-ce4318e1ec3a,,,,,,,https://www.don.com/UserFiles/Images/Products/Individuals/1029176.JPG,,www.don.com/product/1029176,,,,Vita-Mix Corporation,Bar Supplies,Blender Container,Replacements,Replacements,,,Edward don,,,Non-Food,Supplies & Equipment,Food Storage & Wraps,Container
CONTAINER F/TOURNANT BLENDER 64 OZ PLAS,Replacement Container.,Polycarbonate,,1032701,9204a28f-5e36-47be-8d3d-18854ce4e291,,,,,,,https://www.don.com/UserFiles/Images/Products/Individuals/1032701.JPG,,www.don.com/product/1032701,,,,Hamilton Beach Brands,Bar Supplies,Blender Container,Replacements,Replacements,,,Edward don,,,Non-Food,Supplies & Equipment,Food Storage & Wraps,Container
BASE REPLACEMENT RING F/ BLENDER JAR BLK,Replacement Base Ring.,Plastic,,1037645,c250f489-90ed-4c6f-ba12-ab5b73e40beb,,,,,,,https://www.don.com/UserFiles/Images/Products/Individuals/1037645.JPG,,www.don.com/product/1037645,,,,Hamilton Beach Brands,Bar Supplies,Blender Container,Replacements,Replacements,,,Edward don,,,Non-Food,Supplies & Equipment,Food Storage & Wraps,Container
CONT BLENDER REPL 64 OZ W/BLADE ASSBLY,Blender Container/jar.,Polycarbonate,,1039833,c4e15be0-42c3-4ffc-aaad-64da02c3a4d0,,,,,,,https://www.don.com/UserFiles/Images/Products/Individuals/1039833.JPG,,www.don.com/product/1039833,,,,Waring,Bar Supplies,Blender Container,Replacements,Replacements,,,Edward don,,,Non-Food,Supplies & Equipment,Food Storage & Wraps,Container
CONT REPLACEMENT 1-1/2 GAL F/ XL BLENDER,Container Replacement.,Plastic,,1045241,82049963-e9aa-4d83-83e6-faa18d47d9f7,,,,,,,https://www.don.com/UserFiles/Images/Products/Individuals/1045241.JPG,,www.don.com/product/1045241,,,,Vita-Mix Corporation,Bar Supplies,Blender Container,Replacements,Replacements,,,Edward don,,,Non-Food,Supplies & Equipment,Food Storage & Wraps,Container
CONTAINER BLENDER 64 OZ SS,Container.,Stainless Steel,,1049214,f8987cb9-b30c-4e6a-9602-763fcd60831b,,,,,,,https://www.don.com/UserFiles/Images/Products/Individuals/1049214.JPG,,www.don.com/product/1049214,,,,Waring,Bar Supplies,Blender Container,Replacements,Replacements,,,Edward don,,,Non-Food,Supplies & Equipment,Food Storage & Wraps,Container
